Nomor_Aju;Tanggal_Aju;Importir;Negara_Asal;Pelabuhan_Muat;Pelabuhan_Bongkar;HS_Code;Uraian_Barang;Nilai_FOB_USD;Freight_USD;Insurance_USD;Nilai_CIF_USD;Tarif_BM;Nilai_BM_IDR;Status_Jalur
883618-117031-20260408;2026-04-08;PT. Karya Sejahtera;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;19.710,38;903,15;98,55;20.712,08;5%;Rp 16.776.785;Hijau
474440-926823-20260125;2026-01-25;PT. Maju Mandiri;JP;JPTYO;IDTPP;94036090;Furnitur Kayu Lainnya;8.416,10;889,99;42,08;9.348,17;5%;Rp 7.572.018;Hijau
170841-461551-20260402;2026-04-02;PT. Global Logistik;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;5.929,49;572,19;29,65;6.531,33;5%;Rp 5.290.377;Hijau
352838-868544-20260805;2026-08-05;PT. Global Abadi;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;27.833,94;1.294,50;139,17;29.267,61;0%;Rp 0;Merah
789023-758775-20260330;2026-03-30;PT. Bina Mandiri;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;46.036,94;2.153,93;230,18;48.421,05;5%;Rp 39.221.050;Kuning
208699-908977-20260604;2026-06-04;PT. Jaya Mandiri;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;40.844,85;4.857,73;204,22;45.906,80;0%;Rp 0;Hijau
710169-870899-20260309;2026-03-09;PT. Cahaya Mandiri;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;4.880,19;341,33;24,40;5.245,92;5%;Rp 4.249.195;Hijau
893435-448671-20260726;2026-07-26;PT. Maju Utama;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;9.218,29;642,07;46,09;9.906,45;5%;Rp 8.024.224;Hijau
239890-146489-20260112;2026-01-12;PT. Jaya Logistik;JP;JPTYO;IDTPP;61091010;Pakaian / T-shirt Katun;19.880,93;2.087,97;99,40;22.068,30;15%;Rp 53.625.969;Hijau
469412-672536-20260706;2026-07-06;PT. Global Logistik;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;43.073,11;4.987,00;215,37;48.275,48;5%;Rp 39.103.139;Hijau
454992-953025-20260428;2026-04-28;PT. Nusantara Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;7.517,52;893,68;37,59;8.448,79;5%;Rp 6.843.520;Hijau
774020-283594-20260518;2026-05-18;PT. Sukses Sejahtera;JP;JPTYO;IDTPP;85444290;Kabel Listrik dengan Konektor;10.691,55;1.072,04;53,46;11.817,05;5%;Rp 9.571.810;Kuning
970720-916990-20260201;2026-02-01;PT. Jaya Gemilang;JP;JPTYO;IDTPP;61091010;Pakaian / T-shirt Katun;3.541,83;248,28;17,71;3.807,82;15%;Rp 9.253.003;Hijau
817941-587192-20260407;2026-04-07;PT. Bina Logistik;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;3.179,73;148,43;15,90;3.344,06;0%;Rp 0;Hijau
829168-601776-20260121;2026-01-21;PT. Sukses Sejahtera;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;35.419,97;3.618,92;177,10;39.215,99;0%;Rp 0;Hijau
762423-291132-20260522;2026-05-22;PT. Global Logistik;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;68.015,31;5.759,02;340,08;74.114,41;5%;Rp 60.032.672;Hijau
950916-241403-20260317;2026-03-17;PT. Nusantara Gemilang;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;12.253,76;906,02;61,27;13.221,05;5%;Rp 10.709.051;Hijau
166165-850827-20260801;2026-08-01;PT. Makmur Gemilang;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;44.544,30;5.011,61;222,72;49.778,63;15%;Rp 120.962.071;Hijau
913894-579911-20260610;2026-06-10;PT. Global Logistik;US;USLAX;IDTPP;85444290;Kabel Listrik dengan Konektor;20.618,90;1.008,18;103,09;21.730,17;5%;Rp 17.601.438;Hijau
138780-407696-20260608;2026-06-08;PT. Global Gemilang;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;6.160,15;489,18;30,80;6.680,13;0%;Rp 0;Hijau
311383-145934-20260809;2026-08-09;PT. Cahaya Sejahtera;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;20.612,95;843,24;103,06;21.559,25;5%;Rp 17.462.993;Hijau
929538-309159-20260403;2026-04-03;PT. Sukses Abadi;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;84.596,14;6.555,60;422,98;91.574,72;5%;Rp 74.175.523;Hijau
143941-430926-20260528;2026-05-28;PT. Karya Abadi;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;12.797,55;569,55;63,99;13.431,09;5%;Rp 10.879.183;Hijau
425138-640418-20260219;2026-02-19;PT. Sukses Sejahtera;US;USLAX;IDTPP;61091010;Pakaian / T-shirt Katun;87.340,75;4.323,84;436,70;92.101,29;15%;Rp 223.806.135;Kuning
517568-955015-20260630;2026-06-30;PT. Sentosa Logistik;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;576,11;28,46;2,88;607,45;10%;Rp 984.069;Hijau
669408-596395-20260118;2026-01-18;PT. Nusantara Utama;JP;JPTYO;IDTPP;85444290;Kabel Listrik dengan Konektor;35.820,76;3.293,25;179,10;39.293,11;5%;Rp 31.827.419;Hijau
365618-138399-20260112;2026-01-12;PT. Sukses Logistik;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;14.830,73;1.478,38;74,15;16.383,26;5%;Rp 13.270.441;Hijau
889882-778324-20260619;2026-06-19;PT. Sentosa Abadi;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;9.331,87;808,79;46,66;10.187,32;5%;Rp 8.251.729;Hijau
300386-400009-20260228;2026-02-28;PT. Karya Mandiri;SG;SGSIN;IDTPP;85171200;Smartphone / Telepon Seluler;14.914,85;1.744,65;74,57;16.734,07;0%;Rp 0;Hijau
474314-918771-20260717;2026-07-17;PT. Maju Utama;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;1.230,18;86,10;6,15;1.322,43;0%;Rp 0;Hijau
150126-787584-20260316;2026-03-16;PT. Makmur Mandiri;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;10.263,96;645,16;51,32;10.960,44;0%;Rp 0;Hijau
448048-386488-20260121;2026-01-21;PT. Cahaya Logistik;KR;KRPUS;IDTPP;94036090;Furnitur Kayu Lainnya;20.507,28;2.245,30;102,54;22.855,12;5%;Rp 18.512.647;Hijau
230521-938171-20260807;2026-08-07;PT. Cahaya Logistik;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;78.705,86;4.556,10;393,53;83.655,49;5%;Rp 67.760.947;Hijau
485896-558176-20260301;2026-03-01;PT. Maju Utama;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;7.172,97;839,65;35,86;8.048,48;5%;Rp 6.519.269;Hijau
519453-879414-20260126;2026-01-26;PT. Sukses Abadi;US;USLAX;IDTPP;61091010;Pakaian / T-shirt Katun;5.063,47;207,46;25,32;5.296,25;15%;Rp 12.869.888;Hijau
561097-505426-20260408;2026-04-08;PT. Sukses Mandiri;JP;JPTYO;IDTPP;85171200;Smartphone / Telepon Seluler;7.316,53;860,35;36,58;8.213,46;0%;Rp 0;Kuning
455505-295892-20260313;2026-03-13;PT. Cahaya Gemilang;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;40.073,98;1.741,33;200,37;42.015,68;0%;Rp 0;Hijau
620306-825686-20260427;2026-04-27;PT. Bina Utama;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;19.821,08;2.205,92;99,11;22.126,11;5%;Rp 17.922.149;Hijau
621691-485191-20260612;2026-06-12;PT. Bina Utama;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;7.074,75;581,66;35,37;7.691,78;15%;Rp 18.691.025;Hijau
936020-644500-20260802;2026-08-02;PT. Sentosa Utama;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;24.733,67;2.954,12;123,67;27.811,46;5%;Rp 22.527.283;Hijau
379676-940064-20260404;2026-04-04;PT. Jaya Mandiri;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;15.010,32;689,03;75,05;15.774,40;5%;Rp 12.777.264;Hijau
186624-862400-20260211;2026-02-11;PT. Bina Sejahtera;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;42.717,93;3.601,48;213,59;46.533,00;0%;Rp 0;Hijau
545120-182760-20260405;2026-04-05;PT. Karya Abadi;KR;KRPUS;IDTPP;84145949;Kipas Angin Industri;5.753,34;676,27;28,77;6.458,38;5%;Rp 5.231.288;Hijau
551524-731718-20260401;2026-04-01;PT. Nusantara Abadi;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;9.016,45;737,98;45,08;9.799,51;10%;Rp 15.875.206;Hijau
962287-289222-20260223;2026-02-23;PT. Cahaya Logistik;US;USLAX;IDTPP;61091010;Pakaian / T-shirt Katun;8.345,44;754,03;41,73;9.141,20;15%;Rp 22.213.116;Hijau
671971-408036-20260621;2026-06-21;PT. Nusantara Mandiri;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;2.307,18;220,70;11,54;2.539,42;0%;Rp 0;Hijau
436814-207581-20260310;2026-03-10;PT. Maju Abadi;KR;KRPUS;IDTPP;39269099;Barang dari Plastik Lainnya;19.059,95;1.455,48;95,30;20.610,73;5%;Rp 16.694.691;Hijau
183958-443848-20260629;2026-06-29;PT. Bina Gemilang;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;18.274,58;1.648,45;91,37;20.014,40;0%;Rp 0;Hijau
793024-410000-20260624;2026-06-24;PT. Sukses Logistik;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;13.441,96;1.166,02;67,21;14.675,19;5%;Rp 11.886.904;Hijau
421384-567576-20260615;2026-06-15;PT. Nusantara Mandiri;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;10.081,88;1.130,10;50,41;11.262,39;0%;Rp 0;Hijau
731894-852524-20260119;2026-01-19;PT. Cahaya Sejahtera;US;USLAX;IDTPP;85171200;Smartphone / Telepon Seluler;2.444,40;106,66;12,22;2.563,28;0%;Rp 0;Hijau
546815-274739-20260605;2026-06-05;PT. Jaya Sejahtera;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;8.064,49;503,85;40,32;8.608,66;5%;Rp 6.973.015;Hijau
823270-565471-20260612;2026-06-12;PT. Jaya Abadi;KR;KRPUS;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;8.855,04;1.027,48;44,28;9.926,80;0%;Rp 0;Hijau
468623-568849-20260213;2026-02-13;PT. Jaya Abadi;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;5.101,38;567,38;25,51;5.694,27;10%;Rp 9.224.717;Hijau
144412-862120-20260517;2026-05-17;PT. Global Mandiri;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;11.008,88;841,66;55,04;11.905,58;5%;Rp 9.643.520;Hijau
469685-744718-20260706;2026-07-06;PT. Sukses Utama;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;21.695,52;1.944,15;108,48;23.748,15;0%;Rp 0;Hijau
556068-387892-20260304;2026-03-04;PT. Nusantara Abadi;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;128.466,45;7.989,39;642,33;137.098,17;5%;Rp 111.049.518;Hijau
770532-929924-20260211;2026-02-11;PT. Karya Gemilang;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;16.473,25;906,85;82,37;17.462,47;10%;Rp 28.289.201;Kuning
160144-178686-20260429;2026-04-29;PT. Sukses Abadi;KR;KRPUS;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;18.197,88;1.402,98;90,99;19.691,85;10%;Rp 31.900.797;Kuning
803787-768480-20260408;2026-04-08;PT. Nusantara Sejahtera;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;12.217,99;834,10;61,09;13.113,18;0%;Rp 0;Hijau
525942-480959-20260311;2026-03-11;PT. Sukses Mandiri;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;1.336,05;115,83;6,68;1.458,56;5%;Rp 1.181.434;Kuning
638009-940010-20260613;2026-06-13;PT. Makmur Logistik;KR;KRPUS;IDTPP;94036090;Furnitur Kayu Lainnya;12.941,36;598,13;64,71;13.604,20;5%;Rp 11.019.402;Hijau
886325-812413-20260626;2026-06-26;PT. Cahaya Abadi;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;14.361,07;1.693,91;71,81;16.126,79;5%;Rp 13.062.700;Hijau
267758-132653-20260523;2026-05-23;PT. Bina Sejahtera;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;256.758,32;30.527,76;1.283,79;288.569,87;0%;Rp 0;Merah
249715-989894-20260226;2026-02-26;PT. Maju Logistik;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;10.605,91;1.016,61;53,03;11.675,55;15%;Rp 28.371.587;Kuning
737086-811027-20260625;2026-06-25;PT. Makmur Gemilang;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;19.184,48;1.590,16;95,92;20.870,56;15%;Rp 50.715.461;Hijau
919264-559457-20260325;2026-03-25;PT. Sukses Utama;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;12.814,67;829,91;64,07;13.708,65;0%;Rp 0;Hijau
136489-232361-20260804;2026-08-04;PT. Maju Abadi;KR;KRPUS;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;3.286,53;345,43;16,43;3.648,39;0%;Rp 0;Hijau
170499-347459-20260716;2026-07-16;PT. Karya Utama;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;52.648,20;4.989,92;263,24;57.901,36;15%;Rp 140.700.305;Hijau
916332-776502-20260718;2026-07-18;PT. Nusantara Sejahtera;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;32.935,94;1.745,91;164,68;34.846,53;10%;Rp 56.451.379;Hijau
484123-479742-20260115;2026-01-15;PT. Sukses Mandiri;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;34.518,07;3.896,20;172,59;38.586,86;5%;Rp 31.255.357;Hijau
501451-694799-20260228;2026-02-28;PT. Karya Sejahtera;CN;CNCGO;IDTPP;84713020;Laptop / Portable ADP;4.486,08;474,64;22,43;4.983,15;0%;Rp 0;Hijau
133958-734487-20260730;2026-07-30;PT. Global Mandiri;KR;KRPUS;IDTPP;61091010;Pakaian / T-shirt Katun;71.923,13;8.341,93;359,62;80.624,68;15%;Rp 195.917.972;Kuning
260891-812048-20260109;2026-01-09;PT. Makmur Gemilang;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;2.484,38;243,61;12,42;2.740,41;5%;Rp 2.219.732;Hijau
571778-488984-20260726;2026-07-26;PT. Maju Abadi;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;27.017,19;2.406,51;135,09;29.558,79;10%;Rp 47.885.240;Kuning
490084-565504-20260322;2026-03-22;PT. Maju Utama;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;185.080,61;13.595,92;925,40;199.601,93;0%;Rp 0;Merah
900152-180620-20260413;2026-04-13;PT. Bina Utama;KR;KRPUS;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;4.069,83;466,48;20,35;4.556,66;0%;Rp 0;Hijau
701800-244383-20260310;2026-03-10;PT. Cahaya Abadi;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;6.771,26;740,00;33,86;7.545,12;5%;Rp 6.111.547;Kuning
655178-484774-20260117;2026-01-17;PT. Global Sejahtera;JP;JPTYO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;15.056,75;656,74;75,28;15.788,77;10%;Rp 25.577.807;Hijau
517368-429657-20260224;2026-02-24;PT. Bina Sejahtera;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;7.301,46;307,46;36,51;7.645,43;5%;Rp 6.192.798;Hijau
781113-392227-20260526;2026-05-26;PT. Global Utama;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;2.078,09;145,71;10,39;2.234,19;0%;Rp 0;Hijau
361736-218959-20260703;2026-07-03;PT. Jaya Sejahtera;JP;JPTYO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;14.505,39;1.520,81;72,53;16.098,73;10%;Rp 26.079.943;Hijau
127172-871411-20260322;2026-03-22;PT. Jaya Gemilang;SG;SGSIN;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;3.734,00;444,28;18,67;4.196,95;0%;Rp 0;Hijau
295085-623285-20260224;2026-02-24;PT. Sentosa Abadi;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;23.583,70;1.227,14;117,92;24.928,76;5%;Rp 20.192.296;Hijau
642895-505785-20260617;2026-06-17;PT. Bina Logistik;JP;JPTYO;IDTPP;85444290;Kabel Listrik dengan Konektor;4.432,38;387,97;22,16;4.842,51;5%;Rp 3.922.433;Hijau
